first_name,last_name,pesel,city
HENRYK,RĘKAS,91110841297,WARSZAWA
HENRYK,WOŁOWIEC,64080455118,BYTOM
WIKTOR,SCHMIDT,88081441575,BYDGOSZCZ
WIKTOR,GRZANKA,64120238870,ZABRZE
ROZALIA,KOWOL,63120965688,BYDGOSZCZ
TOMASZ,CHUDZIŃSKI,54110743458,SOSNOWIEC
LENA,OSOWIECKA,89050893825,ZABRZE
GABRIELA,SZCZERBOWSKA,91061898206,GDAŃSK
LENA,OLECHNOWICZ,65092236841,BYDGOSZCZ
LILIANNA,MROCZKO,98090417747,ZABRZE
ZOFIA,LUDWIG,53020553403,CZĘSTOCHOWA
TYMON,LATUSEK,82120921533,BYTOM
NIKODEM,DYGA,95121367231,LUBLIN
BARBARA,SZCZESNA,75010915720,WROCŁAW
JULIA,IGNATOWSKA,87011221609,BYDGOSZCZ
POLA,KAJDAS,79072331387,OPOLE
ANASTAZJA,KAROLEWSKA,83100525906,KIELCE
ALAN,SOROKA,62080248532,KRAKÓW
BARTŁOMIEJ,MIKOŁAJEK,91030522877,RADOM
WIKTOR,DUSZA,70092692670,OLSZTYN
NADIA,WĄSALA,70041095643,TORUŃ
MATEUSZ,JANCZEWSKI,49102458073,BIAŁYSTOK
BARTOSZ,PIEKUTOWSKI,62041477095,SZCZECIN
ROZALIA,SHEVCHENKO,59080618745,LUBLIN
ALICJA,PALIŃSKA,79012158848,SOSNOWIEC
HELENA,STANISŁAWSKA,90022675161,RADOM
IGNACY,KIEŁBOWICZ,92070286336,GLIWICE
NADIA,PECIAK,80072290240,BYTOM
ALICJA,PATOŁA,79021916728,CZĘSTOCHOWA
TYMOTEUSZ,ANDRZEJCZYK,52110996874,KRAKÓW
ŁUCJA,KAZIMIERCZYK,77042749787,OLSZTYN
OLIWIA,MUSIOŁ,62121011369,SZCZECIN
JAKUB,SŁOBODZIAN,53032844714,KIELCE
MARCELINA,DARAŻ,97052643440,BIAŁYSTOK
ALEKSANDER,KOŁOMAŃSKI,94102402259,TORUŃ
LEON,SUDAK,66060188316,RYBNIK
NINA,DANEK,86011371447,TYCHY
POLA,FILIPEK,95022514905,LUBLIN
JULIA,ZIARNIK,47051645646,RYBNIK
POLA,ŁAPKA,61021381400,TYCHY
HENRYK,ROZYNEK,63051266956,GDAŃSK
MIA,DRĄŻEK,94011693600,BYDGOSZCZ
ALAN,MĄDRO,74121239918,KATOWICE
POLA,KOSTORZ,78031846964,SZCZECIN
ALEKSANDER,SZAŁAJ,91121269158,KIELCE
ZOFIA,BANASZEK,87052556141,WROCŁAW
BARTŁOMIEJ,ŚWISTEK,63012116058,RADOM
BARTOSZ,MRUGAŁA,88060986772,POZNAŃ
KORNELIA,WILKOWSKA,57031291866,ZABRZE
MARCELINA,SPORYSZ,77122775409,BYDGOSZCZ
FILIP,PODOLSKI,65121638578,BYTOM
WIKTOR,STEFANOWICZ,64021786195,GDAŃSK
TADEUSZ,MODZELEWSKI,67092088777,RZESZÓW
HUBERT,MARTYNOWICZ,98022493817,RZESZÓW
LAURA,DZICZEK,66122148665,LUBLIN
FRANCISZEK,FIJOŁ,88121500276,KATOWICE
WIKTORIA,WINTER,53070405087,KATOWICE
PAWEŁ,ZIĘTEK,61030968573,RADOM
HUBERT,KLIMCZAK,92010787314,KATOWICE
JULIA,LIZUREJ,92081759803,TYCHY
STANISŁAW,ZIENTARA,88110840292,GLIWICE
MARCELINA,KUSEK,97061507384,KATOWICE
ALEKSANDER,PARKHOMENKO,93072312716,ŁÓDŹ
ROZALIA,PALA,84012006062,RYBNIK
KLARA,KASPEREK,50021654680,GDAŃSK
JAGODA,SZUSTAK,97081503723,BYDGOSZCZ
WIKTOR,WACŁAWCZYK,75072527874,RZESZÓW
BARBARA,NAJDOWSKA,58120577408,GLIWICE
BARTŁOMIEJ,CHORNYI,55050969635,TYCHY
JAKUB,PIECYK,88110713292,LUBLIN
DOMINIK,GUZDEK,80080562572,WARSZAWA
ALICJA,RICHTER,96050951283,SOSNOWIEC
IGA,ZACHARA,86120539502,KIELCE
NINA,ZBOROWSKA,94110316344,WARSZAWA
KAJA,SZKATUŁA,81040864002,SOSNOWIEC
ANTONINA,ZAGAJEWSKA,98030435687,BYDGOSZCZ
ALEKSANDRA,REMBOWSKA,81081788244,KATOWICE
GABRIEL,DROBIŃSKI,56082198976,BIAŁYSTOK
OLIWIER,SOLIWODA,70081406571,SOSNOWIEC
HELENA,CZYŻYK,87101816003,LUBLIN
DAWID,IWAŃSKI,85122599836,POZNAŃ
ALEKSANDER,TRZOS,70051452577,GDYNIA
ALICJA,WILIŃSKA,94050995644,BIAŁYSTOK
MAJA,ŁUBIŃSKA,68042086820,POZNAŃ
DAWID,BAJ,92051016375,RADOM
MATEUSZ,WALIGÓRA,92112391750,OLSZTYN
ROZALIA,KOPECKA,54080466501,RADOM
JULIAN,RANISZEWSKI,77012459855,BYTOM
OLIWIA,SMAGAŁA,58040870402,ŁÓDŹ
LAURA,GWARA,80021740740,ZABRZE
NELA,MOGIELNICKA,72111943124,GLIWICE
ANNA,ROGAL,50010631400,BYDGOSZCZ
JULIAN,PIETRUS,86050101832,BYTOM
KSAWERY,ZUBRYCKI,79091211034,BYDGOSZCZ
NIKODEM,STOKŁOSA,81050559139,BYDGOSZCZ
ZUZANNA,WOJTUNIK,77042052523,ZABRZE
JAGODA,SADZA,89110953309,BYDGOSZCZ
WERONIKA,ŚLASKA,78072720447,KIELCE
ROZALIA,KARNOWSKA,69050736902,GDAŃSK
NATALIA,FURTAK,95091059882,OPOLE
FRANCISZEK,DZIEKAN,97072432557,OLSZTYN
MACIEJ,SZKUP,94062456174,SOSNOWIEC
JAKUB,MICEK,57112640690,RADOM
IGA,GÓRCZAK,92110963463,RYBNIK
ANASTAZJA,VLASIUK,66051768687,BIAŁYSTOK
MICHALINA,TRETIAK,80012006528,WROCŁAW
MIA,TYCZYŃSKA,56070632865,KATOWICE
ŁUCJA,CZYŻ,83110318362,KATOWICE
JAGODA,BONA,88061144580,KATOWICE
ZUZANNA,SKOCZ,71052724404,GDAŃSK
NINA,JANIGA,62071186203,ZABRZE
FRANCISZEK,GIERA,87052842657,GDYNIA
ANIELA,BIELAT,60121770741,KIELCE
PAWEŁ,SYDOR,92021497996,TORUŃ
KSAWERY,SZELĄG,79061384692,BIAŁYSTOK
WIKTORIA,JAKACKA,64121418122,BYDGOSZCZ
ZUZANNA,ŁUKASIK,49030551684,GLIWICE
ALAN,CHRUŚCIŃSKI,95110404356,BYTOM
RÓŻA,ROGACZ,96011794785,CZĘSTOCHOWA
ANNA,WIĘCZKOWSKA,82092643164,ZABRZE
MARTYNA,BUKALSKA,87071415180,POZNAŃ
ROZALIA,SYNOWIEC,84110480964,GDAŃSK
KSAWERY,JAGODZIŃSKI,86100685476,SZCZECIN
MAJA,PIWOWAR,68090888323,KIELCE
JAGODA,PYTKA,70030377947,OLSZTYN
FRANCISZEK,STANASZEK,76081738653,SOSNOWIEC
MARCEL,FIJAŁKOWSKI,56012318231,BYDGOSZCZ
WERONIKA,REJMAN,68052863324,ZABRZE
KRZYSZTOF,STASZYŃSKI,66031435996,BYTOM
LILIANA,POCZĄTEK,82101057921,POZNAŃ
MAGDALENA,LATO,87080967867,SZCZECIN
ANNA,KOSEK,57010610240,KATOWICE
MIŁOSZ,JERZAK,92121246912,GDAŃSK
HUBERT,RESPONDEK,57122731513,KATOWICE
MAKSYMILIAN,ŻABIŃSKI,81042223153,OPOLE
BRUNO,SZKOŁA,59052565772,GDYNIA
HUBERT,STODULSKI,54020615558,GDAŃSK
MARTYNA,JASZEWSKA,98011304882,POZNAŃ
JAGODA,PALCZEWSKA,90090161403,POZNAŃ
LILIANA,BIGOS,82040320306,WROCŁAW
JULIA,LEJA,52121254625,LUBLIN
KACPER,GRADOWSKI,55020673096,BIAŁYSTOK
TOMASZ,WINTER,78070729791,GDAŃSK
BARTOSZ,MINKINA,62032445074,SZCZECIN
BLANKA,KUCHARZYK,91021815382,GDAŃSK
OSKAR,SKOP,99022746577,BIAŁYSTOK
JULIAN,MOCZYŃSKI,64022855590,OPOLE
MAJA,WIADERNA,72021999725,KRAKÓW
HANNA,OLEKSAK,52020587063,OLSZTYN
MATEUSZ,JÓZWIK,93031413394,BYTOM
MACIEJ,CIBOROWSKI,49010690017,POZNAŃ
NIKOLA,PACHOLIK,91051347404,GLIWICE
KAZIMIERZ,REZLER,88040277051,LUBLIN
SARA,MAŃKO,85032188741,BYDGOSZCZ
ALEKSANDER,KOLBUSZ,78052897218,GLIWICE
TOMASZ,GAWRYSIAK,54050168250,TYCHY
KAROL,SOROKA,89011839294,TYCHY
AMELIA,NAWRAT,52021308422,TORUŃ
KORNELIA,DUSZKIEWICZ,91092068881,ŁÓDŹ
SARA,MILER,59012852907,KIELCE
ARTUR,NOGALSKI,96122219119,RYBNIK
MARTYNA,ZARĘBA,84111399025,KRAKÓW
JULIA,ROKOWSKA,57102308624,TYCHY
LENA,MULARSKA,94120598181,WROCŁAW
FRANCISZEK,ZACZYK,92050593016,LUBLIN
NINA,CHARZEWSKA,58071719521,SZCZECIN
MILENA,RYCERZ,48092055608,KATOWICE
BLANKA,GUL,53070855802,ŁÓDŹ
FILIP,MAJEK,50091039038,CZĘSTOCHOWA
MICHALINA,SZYCHOWSKA,95050274708,WROCŁAW
KACPER,KUDLIŃSKI,53030757070,KATOWICE
ANNA,POSPIESZNA,68022841680,GLIWICE
DAWID,MOSSAKOWSKI,77012489151,TYCHY
PIOTR,PINKOWSKI,59120162333,RADOM
MARIA,TELEGA,54050372585,OLSZTYN
TYMON,DUSIŃSKI,54061519090,POZNAŃ
MAKSYMILIAN,KUBASIAK,97010631534,RYBNIK
RÓŻA,GAŃSKA,69072661624,BIAŁYSTOK
GABRIEL,SZMIGIEL,97040818691,ZABRZE
NIKODEM,ZAWIERUCHA,69052781511,RADOM
KAZIMIERZ,FEDAK,51100594853,ZABRZE
PAWEŁ,GRABSKI,57060168976,GLIWICE
MIA,MUSIALSKA,61021532903,GDAŃSK
ALEKSANDRA,WAŚNIEWSKA,94070718543,KRAKÓW
HENRYK,FILA,74120641319,ŁÓDŹ
MARIA,ŻOCHOWSKA,84041163088,ZABRZE
MICHALINA,MAKARUK,76112370584,KATOWICE
LILIANNA,TURZYŃSKA,62041215203,GDAŃSK
KAJA,FILARSKA,72051936669,LUBLIN
JULIA,KUCZYŃSKA,51020867209,LUBLIN
MIA,SIEJA,49101355106,TYCHY
MARCEL,WESOŁY,86070248253,GLIWICE
JAN,KUNOWSKI,51080635314,OPOLE
BRUNO,MALICKI,84022528590,WARSZAWA
RÓŻA,KONSTANTY,83112598206,BIAŁYSTOK
JAGODA,GRYCIUK,50031975108,TYCHY
JAKUB,GLANOWSKI,93031748633,RADOM
GABRIEL,PROSTAK,53051907677,WROCŁAW
WIKTORIA,THOMAS,58122419306,KATOWICE
OSKAR,RAMS,86012219872,CZĘSTOCHOWA
TYMON,MYKHALCHUK,80111917379,BYDGOSZCZ
MATEUSZ,KRZOSKA,70112335911,ŁÓDŹ
KSAWERY,DZIADKOWIEC,88032058294,BYTOM
HENRYK,DZIARMAGA,59062287510,SZCZECIN
LILIANNA,ROSŁONIEC,47062656342,ZABRZE
NATAN,DUL,95102569254,KIELCE
DOMINIK,WITCZAK,96112081058,ZABRZE
JULIAN,PACEK,49101632954,CZĘSTOCHOWA
AMELIA,KOLANKO,79102771080,OLSZTYN
NINA,JAROŃ,96062811641,LUBLIN
ARTUR,JAMBOR,58101417951,OLSZTYN
TADEUSZ,ANTKOWIAK,74110520995,GLIWICE
GABRIELA,ADAMIEC,90101056846,KIELCE
TYMOTEUSZ,MIKULSKI,99012303751,SZCZECIN
JAN,BALIŃSKI,48050787514,GLIWICE
ARTUR,SŁAWIŃSKI,67050889213,KRAKÓW
KAROL,TOCZKO,73022879171,RADOM
KAZIMIERZ,ŁUBA,53052141159,SZCZECIN
MARCELINA,RUDZKA,83032581680,WROCŁAW
JULIAN,CAPUTA,71122830691,WROCŁAW
NIKOLA,RADOSZ,87021595081,GDYNIA
MIŁOSZ,ŻUCHOWICZ,54020420230,BIAŁYSTOK
NATAN,KUBASIAK,49011845097,BIAŁYSTOK
MIA,PAWLACZEK,77041560727,KIELCE
JAKUB,LASEK,70040149672,SOSNOWIEC
ZOFIA,PAŁKA,72020790801,RADOM
AGATA,POPKO,99041196160,ZABRZE
BARTOSZ,PIRÓG,96102896235,BIAŁYSTOK
LILIANNA,WITKIEWICZ,66031819505,BYTOM
RÓŻA,PISAREK,77091170123,SOSNOWIEC
JAGODA,PACHOLCZAK,56030113085,GDAŃSK
CEZARY,BUŚ,74022236674,TORUŃ
FABIAN,DZIERWA,91070228739,WARSZAWA
ŁUCJA,WYDRA,77122401921,GDYNIA
TADEUSZ,LATAWIEC,55062177857,WROCŁAW
MIKOŁAJ,KUSZAJ,87110766970,SZCZECIN
LAURA,MIKOŁAJSKA,60030401544,WROCŁAW
ANNA,DUBIŃSKA,63010879083,WARSZAWA
EMILIA,KASIAK,75050547867,BYDGOSZCZ
NIKOLA,ONISZCZUK,58072778326,GDYNIA
KORNELIA,PODESZWA,82111992203,SZCZECIN
NADIA,CHOCHÓŁ,49010504521,GDAŃSK
WOJCIECH,KOMAN,54021229374,TORUŃ
GABRIELA,BILAN,60041982484,GDYNIA
ANTONI,CELIŃSKI,79010972597,ŁÓDŹ
OSKAR,NICIEJEWSKI,90072518737,OLSZTYN
OLIWIA,TALAR,85112136205,BYTOM
MARCELINA,FORYSIAK,55110675388,RADOM
SARA,GRAD,69071398209,GDAŃSK
BRUNO,KIERAT,85121063478,RADOM
NIKODEM,KOHUT,89051969737,ŁÓDŹ
MARCELINA,DZIKA,47110576101,ŁÓDŹ
NADIA,SARNIAK,82072820465,RADOM
MACIEJ,NIJAK,69041329854,POZNAŃ
ANTONINA,SZPYT,91052744002,BYTOM
JULIA,AUGUSTYNEK,74101604669,GLIWICE
POLA,BŁASZCZAK,81101326642,KATOWICE
MARCEL,SOKÓŁ,91091559192,RZESZÓW
KLARA,TSYMBALIUK,78020451242,KATOWICE
MAJA,TARNOWSKA,55080141863,OLSZTYN
IGOR,KUTEK,99022514016,ŁÓDŹ
KORNELIA,SZELIGOWSKA,86080581022,BIAŁYSTOK
HENRYK,KIJEWSKI,64042484393,ŁÓDŹ
BLANKA,ZUB,83050943404,TYCHY
HUBERT,PIASTA,86022583472,SOSNOWIEC
MILENA,JUŚKIEWICZ,54081761728,GLIWICE
JULIA,LANGA,77032466603,OLSZTYN
WIKTOR,SEREK,49112397796,GDYNIA
WERONIKA,PACHOLCZYK,77071477143,SZCZECIN
NIKODEM,KAIM,85012144056,CZĘSTOCHOWA
OSKAR,CZEKAŃSKI,83021804091,WARSZAWA
HUBERT,ŁEPKOWSKI,63042653138,GDAŃSK
HENRYK,STERNICKI,68121716296,KRAKÓW
GABRIELA,SŁUPSKA,79082563505,RADOM
ARTUR,BARĆ,88121711250,GDAŃSK
KAJA,KUCHTA,80021193808,TYCHY
LIWIA,STANICZEK,63021144944,SOSNOWIEC
